code,name,suggested_price_from_lab,price
ENF,EXUDADO DE FAUCES,667,$867
FC2,FACTOR II de coagulacion,1004,$1.305
FC9,FACTOR IX de coagulacion,1668,$2.168
FC5,FACTOR V de coagulacion,1668,$2.168
FC7,FACTOR VII de coagulacion,1668,$2.168
FC8,FACTOR VIII de coagulacion,1668,$2.168
FC10,FACTOR X de coagulacion,1668,$2.168
FC13,FACTOR XIII DE COAGULACION,28506,$37.058
AFA,FENIL ACETICO ACIDO,4625,$6.012
AFENO,FENILGLIOXILICO ACIDO EN ORINA,2775,$3.607
FEB,FENOBARBITAL,803,$1.044
FER,FERREMIA,274,$356
FET,FERRITINA,689,$896
FIB,FIBRINOGENO EN SANGRE,214,$279
AFO,FOLICO ACIDO,638,$830
AFO ERI,FOLICO ACIDO ERITROCITARIO,669,$869
AC FORM,FORMICO ACIDO en ORINA,2893,$3.760
FAP,FOSFATASA ACIDA PROSTATICA,238,$309
FAL,FOSFATASA ALCALINA,176,$228
FAL-O,FOSFATASA ALCALINA Osea,2183,$2.839
FOU,FOSFATURIA,233,$304
FOS,FOSFORO en sangre,233,$304
ALG,FRUCTOSAMINA,345,$448
FSH,FSH,440,$572
FTA,FTA-ABS por IFI (ac. totales),507,$659
GAs,GASTRINA,975,$1.267
GAS,GASTRINA PLASMATICA-RIA,706,$918
RGB,GLOBULOS BLANCOS RECUENTO DE,147,$191
RGR,GLOBULOS ROJOS RECUENTO DE,147,$191
GLU,GLUCEMIA,147,$191
GPP,GLUCEMIA POST PRANDIAL,345,$448
GGT,GLUTAMIL TRANSPEPTIDASA GAMMA,242,$315
GON,"GONOCOCOS,Investigacion de",16828,$21.876
GRU,GRUPO SANGUINEO,514,$668
HPY G,HELICOBACTER PYLORI Elisa IgG,2340,$3.042
HPY M,HELICOBACTER PYLORI Elisa IgM,2901,$3.771
CDS,"HEMOCULTIVO,AEROBIOS Y ANAEROB",10461,$13.600
HDH,HEMOGLOBINA ELECTROFORESIS DE,2127,$2.765
HGY,HEMOGLOBINA GLICOSILADA,551,$717
HEM,HEMOGRAMA,209,$272
HAV ac G,HEPAT. A  ANTIC.ANTI IgG,448,$582
HAV ac M,HEPAT. A  ANTIC.ANTI IgM,617,$802
HAVAc-To,HEPAT. A ANTICUERPOS TOTALES,607,$789
HBSAG,HEPAT. B ANTIG. DE SUP (HBsAg),716,$931
HBC Ac G,"HEPAT. B Ag. CORE, Ac. IgG",891,$1.159
HBC Ac M,"HEPAT. B Ag. CORE, Ac. IgM",685,$890
HBS Ac,HEPAT. B Ag. DE SUP  ANTIC.ANTI,503,$653
HB-CV,HEPAT. B CARGA VIRAL,26500,$34.450
HCV G,HEPAT. C ANTIC.ANTI IgG ELISA,612,$796
HBcAc-T,HEPATITIS B - ANTIC ANTI CORE TOTAL,434,$564
HBCORE,HEPATITIS B CORE IGG,867,$1.127
HEP,HEPATOGRAMA,389,$506
HV1 GE,HERPES I ANTIC ANTI IGG ELISA,1455,$1.892
HV1 ME,HERPES I ANTIC. ANTI IgM ELISA,1773,$2.304
HV1 G,HERPES I ANTIC.ANTI IgG IFI,845,$1.099
HV2 GE,HERPES II ANTIC. ANTI IgG ELISA,1455,$1.892
HV2 ME,HERPES II ANTIC. ANTI IgM ELISA,1773,$2.304
HV2 G,HERPES II ANTIC.ANTI IgG IFI,1455,$1.892
AC HIP,HIPURICO ACIDO,2925,$3.802
HIV CV,HIV CARGA VIRAL,15166,$19.716
HIV,HIV COMBO - Anticuerpos anti HIV + Antigeno P24,734,$954
HMC,HOMOCISTEINA en orina,1708,$2.221
HMS,HOMOCISTEINA en sangre,1779,$2.313
AHO,HOMOVANILICO ACIDO,4222,$5.488
AMH,HORMONA ANTI MULLERIANA,6325,$8.222
ADH,HORMONA ANTIDIURETICA,26819,$34.865
HUD,HUDDLESSON REACCION DE,459,$597
IGA,IGA cadena Alfa,278,$361
IGA NASA,IGA en secrecion nasal,385,$500
IAS,IGA secretoria,585,$760
IGE,IGE,572,$743
R CAR V,IGE ESPEC CARNE VACUNA,591,$769
R ABEJA,IGE ESPECIFICA ABEJA,1133,$1.473
R ACARO,IGE ESPECIFICA ACAROS,1133,$1.473
R A-SIRO,IGE ESPECIFICA ACARUS SIRO,1133,$1.473
R AJI,IGE ESPECIFICA AJI COLORADO,1133,$1.473
