code,name,suggested_price_from_lab,price
IAS,IGA secretoria,1153,$1.498
IGE,INMUNOGLOBULINA E - IGE,878,$1.141
R CAR V,IGE ESPEC CARNE VACUNA,2453,$3.188
R ABEJA,IGE ESPECIFICA ABEJA,2453,$3.188
R ACARO,IGE ESPECIFICA ACAROS,2453,$3.188
R A-SIRO,IGE ESPECIFICA ACARUS SIRO,2453,$3.188
R AJI,IGE ESPECIFICA AJI COLORADO,2453,$3.188
R ALAMO,IGE ESPECIFICA ALAMO,2453,$3.188
R A LACT,IGE ESPECIFICA ALFA-LACTOALBUMINA,2453,$3.188
R ALMEN,IGE ESPECIFICA ALMENDRAS,2453,$3.188
R ALTER,IGE ESPECIFICA ALTERNARIA,2453,$3.188
R AMARA,IGE ESPECIFICA AMARANTUS,2453,$3.188
R AMBRO,IGE ESPECIFICA AMBROSIA,2453,$3.188
R AMOXI,IGE ESPECIFICA AMOXICILINA,2453,$3.188
R ARBOL,IGE ESPECIFICA ARBOL,2453,$3.188
R ARBUST,IGE ESPECIFICA ARBUSTO,2453,$3.188
R ARCE,IGE ESPECIFICA ARCE,2453,$3.188
R ASP-NI,IGE ESPECIFICA ARPERGILLUS NIGER,2453,$3.188
R ARTEMI,IGE ESPECIFICA ARTEMISA,2453,$3.188
R ASPER,IGE ESPECIFICA ASPERGILLUS,2453,$3.188
R ASP-FL,IGE ESPECIFICA ASPERGILLUS FLAVUS,2453,$3.188
R ASP-FU,IGE ESPECIFICA ASPERGILLUS FUMIGATUS,2453,$3.188
,IGE ESPECIFICA ANANA,2453,$3.188
R AVENA,IGE ESPECIFICA AVENA,2453,$3.188
R BANANA,IGE ESPECIFICA BANANAS,2453,$3.188
R B LACT,IGE ESPECIFICA BETA-LACTOGLOBULINA,2453,$3.188
R CACAO,IGE ESPECIFICA CACAO,2453,$3.188
R CAMAR,IGE ESPECIFICA CAMARON,2453,$3.188
R CANDI,IGE ESPECIFICA CANDIDA ALBICANS,2453,$3.188
R CASEIN,IGE ESPECIFICA CASEINA,2453,$3.188
R H-CLAR,IGE ESPECIFICA CLARA DE HUEVO,2453,$3.188
R CAB-E,IGE ESPECIFICA EPITELIO DE CABALLO,2453,$3.188
,IGE ESPECIFICA FRUTILLAS,2453,$3.188
R LACTOA,IGE ESPECIFICA LACTOALBUMINA,2453,$3.188
R LECHE,IGE ESPECIFICA LECHE,2453,$3.188
,IGE ESPECIFICA NUEZ,2453,$3.188
R OVO,IGE ESPECIFICA OVOALBUMINA,2453,$3.188
R SOJA,IGE ESPECIFICA SOJA,2453,$3.188
,IGE ESPECIFICA TOMATE,2453,$3.188
,IGE ESPECIFICOS OTROS ,2453,$3.188
,IGF-I   -  SOMATOMEDINA C,3928,$5.106
,INMUNOGLOBULINA G -IGG ,665,$865
,INMUNOGLOBULINA M - IGM ,665,$865
INSUL,INSULINA SERICA TOTAL,740,$962
ION,IONOGRAMA PLASMATICO,420,$546
IOU,IONOGRAMA URINARIO,440,$572
,IgE ESPECIFICA - PENICILINA INYEC,2453,$3.188
LDH,LACTICO DEHIDROGENASA LDH,343,$445
LAM,LAMOTRIGINA,14073,$18.294
,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,640,$832
LMF,LEUCOCITOS EN MATERIA FECAL,4053,$5.268
LH,LH HORMONA LUTEOTROFICA,733,$952
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,660,$858
LIG,LIPIDOGRAMA ELECTROFORETICO,703,$913
LPA,LIPOPROTEINA A,3568,$4.638
LIT,LITIO PLASMATICO,1410,$1.833
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,10808,$14.050
MGU,MAGNESIO en orina,464,$603
MGS,MAGNESIO en sangre,464,$603
AMANDE,MANDELICO ACIDO,10958,$14.245
PPD,MANTOUX INTRADERMORREACCION,1932,$2.512
MET,METANEFRINA en orina,11278,$14.661
AC METIL,METIL HIPURICO ACIDO  en ORINA,6318,$8.213
MIC1,MICOLOGICO,5588,$7.264
ALB-U2,MICROALBUMINURIA (Orina 2 hs),1128,$1.466
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,1453,$1.889
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,1128,$1.466
AMAM2,MITOCONDRIAL TIPO 2,8505,$11.057
MONO,MONO TEST,628,$816
MYC,MYCOPLASMA CULTIVO,7803,$10.144
ORI,ORINA COMPLETA,1000,$1.300
PMF,PARAS. MAT FECAL,1000,$1.300
PTH,PARATHORMONA,945,$1.229
PARO G,PAROTIDITIS ANTIC.ANTI IgG,11633,$15.122
PARO M,PAROTIDITIS ANTIC.ANTI IgM,11403,$14.823
BNP,PRO BNP,20193,$26.250
PRO CAL,PROCALCITONINA,12305,$15.997
PG,PROGESTERONA PLASMATICA,749,$974
PL,PROLACTINA,720,$936
PROT C,PROTEINA C FUNCIONAL,9475,$12.318
PCR,PROTEINA C REACTIVA,1765,$2.295
PROS L,PROTEINA S LIBRE,10328,$13.426
PRO,PROTEINAS TOTALES,1421,$1.847
PRU,PROTEINAS URINARIAS 12/24 hs,928,$1.206
PTG,PROTEINOGRAMA,4465,$5.805
20210,PROTOMBINA 20210,28318,$36.813
PRR,PRUEBA DE ROSSE RAGAN,3978,$5.171
RPCA,RESIST. A LA PROTEINA C ACTIVA,9720,$12.636
RET,RETICULOCITOS,458,$595
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,1845,$2.399
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,1715,$2.230
SOM,SANGRE OCULTA - MATERIA FECAL,1600,$2.080
SAT,SATURACION DE TRANSFERRINA,935,$1.216
SEL,SELENIO,17130,$22.269
SER,SEROTONINA,12538,$16.299
SER-O,SEROTONINA EN ORINA DE 24HS,15455,$20.092
HGH,SOMATOTROFINA,1530,$1.989
,SUB UNIDAD BETA CUANTITATIVA,1955,$2.542
,SUB UNIDAD BETA CUALITATIVA,978,$1.271
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,1180,$1.534
T3,T3 - TRIIODOTIRONINA,961,$1.249
T3L,T3 LIBRE,1463,$1.902
T4,T4 - TIROXINA TOTAL,472,$614
T4L,T4 LIBRE,961,$1.249
GHM,TEST DE GRAHAM,839,$1.091
TEB,TESTOSTERONA BIODISPONIBLE,2125,$2.763
TEL,TESTOSTERONA LIBRE en suero,1473,$1.914
TES,TESTOSTERONA PLASMATICA,661,$859
TG,TIROGLOBULINA,1130,$1.469
TXG,TOXOPLASMOSIS ANTIC. IgG,1653,$2.148
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,5680,$7.384
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,1908,$2.480
TGO,TRANSAMINASA GLUTAMICO OXALACETICA,320,$416
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA,320,$416
TRA,TRANSFERRINA,738,$959
TGL,TRIGLICERIDOS,695,$904
TROPO,TROPONINA T (Tn-T),5045,$6.559
TSH,TSH - TIROTROFINA PLASMATICA,400,$520
CDU,"UREA, CLEARENCE DE",468,$608
UUREAL,UREAPLASMA UREALITICUM CULT.,6140,$7.982
URE,UREMIA,378,$491
AUR,URICO ACIDO,468,$608
AUUE,URICO ACIDO  EN ORINA OCASIONAL,468,$608
AUU2,URICO ACIDO  en orina de 2 hs.,468,$608
AUU,URICO ACIDO orina,468,$608
UROC,UROCULTIVO + ANTIBIOGRAMA,4560,$5.928
VDR,V.D.R.L. CUALITATIVA,590,$767
VDC,V.D.R.L. CUANTITATIVA,885,$1.151
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,6416,$8.341
