code,name,suggested_price_from_lab,price
FAL-O,FOSFATASA ALCALINA Osea,3275,$4.258
FOU,FOSFATURIA,350,$455
FOS,FOSFORO en sangre,350,$455
ALG,FRUCTOSAMINA,517,$672
FSH,FSH,660,$859
FTA,FTA-ABS por IFI (ac. totales),761,$989
GAs,GASTRINA,1462,$1.901
GAS,GASTRINA PLASMATICA-RIA,1059,$1.376
RGB,GLOBULOS BLANCOS RECUENTO DE,220,$286
RGR,GLOBULOS ROJOS RECUENTO DE,220,$286
GLU,GLUCEMIA,220,$286
GPP,GLUCEMIA POST PRANDIAL,517,$672
GGT,GLUTAMIL TRANSPEPTIDASA GAMMA,364,$473
GON,"GONOCOCOS,Investigacion de",25242,$32.815
GRU,GRUPO SANGUINEO,771,$1.002
HPY G,HELICOBACTER PYLORI Elisa IgG,3510,$4.563
HPY M,HELICOBACTER PYLORI Elisa IgM,4351,$5.656
CDS,"HEMOCULTIVO,AEROBIOS Y ANAEROB",15692,$20.400
HDH,HEMOGLOBINA ELECTROFORESIS DE,3191,$4.148
HGY,HEMOGLOBINA GLICOSILADA,827,$1.075
HEM,HEMOGRAMA,314,$408
HAV ac G,HEPAT. A  ANTIC.ANTI IgG,672,$874
HAV ac M,HEPAT. A  ANTIC.ANTI IgM,926,$1.203
HAVAc-To,HEPAT. A ANTICUERPOS TOTALES,911,$1.184
HBSAG,HEPAT. B ANTIG. DE SUP (HBsAg),1074,$1.396
HBC Ac G,"HEPAT. B Ag. CORE, Ac. IgG",1337,$1.738
HBC Ac M,"HEPAT. B Ag. CORE, Ac. IgM",1027,$1.335
HBS Ac,HEPAT. B Ag. DE SUP  ANTIC.ANTI,754,$980
HB-CV,HEPAT. B CARGA VIRAL,39750,$51.675
HCV G,HEPAT. C ANTIC.ANTI IgG ELISA,919,$1.194
HBcAc-T,HEPATITIS B - ANTIC ANTI CORE TOTAL,650,$846
HBCORE,HEPATITIS B CORE IGG,1301,$1.691
HEP,HEPATOGRAMA,584,$759
HV1 GE,HERPES I ANTIC ANTI IGG ELISA,2183,$2.837
HV1 ME,HERPES I ANTIC. ANTI IgM ELISA,2659,$3.456
HV1 G,HERPES I ANTIC.ANTI IgG IFI,1268,$1.648
HV2 GE,HERPES II ANTIC. ANTI IgG ELISA,2183,$2.837
HV2 ME,HERPES II ANTIC. ANTI IgM ELISA,2659,$3.456
HV2 G,HERPES II ANTIC.ANTI IgG IFI,2183,$2.837
AC HIP,HIPURICO ACIDO,4387,$5.703
HIV CV,HIV CARGA VIRAL,22749,$29.574
HIV,HIV COMBO - Anticuerpos anti HIV + Antigeno P24,1101,$1.431
HMC,HOMOCISTEINA en orina,2562,$3.331
HMS,HOMOCISTEINA en sangre,2669,$3.469
AHO,HOMOVANILICO ACIDO,6333,$8.233
AMH,HORMONA ANTI MULLERIANA,9487,$12.333
ADH,HORMONA ANTIDIURETICA,40228,$52.297
HUD,HUDDLESSON REACCION DE,689,$896
IGA,IGA cadena Alfa,417,$542
IGA NASA,IGA en secrecion nasal,577,$750
IAS,IGA secretoria,877,$1.141
IGE,IGE,857,$1.114
R CAR V,IGE ESPEC CARNE VACUNA,887,$1.153
R ABEJA,IGE ESPECIFICA ABEJA,1699,$2.209
R ACARO,IGE ESPECIFICA ACAROS,1699,$2.209
R A-SIRO,IGE ESPECIFICA ACARUS SIRO,1699,$2.209
R AJI,IGE ESPECIFICA AJI COLORADO,1699,$2.209
R ALAMO,IGE ESPECIFICA ALAMO,1699,$2.209
R A LACT,IGE ESPECIFICA ALFA-LACTOALBUMINA,1699,$2.209
R ALMEN,IGE ESPECIFICA ALMENDRAS,1699,$2.209
R ALTER,IGE ESPECIFICA ALTERNARIA,1699,$2.209
R AMARA,IGE ESPECIFICA AMARANTUS,1699,$2.209
R AMBRO,IGE ESPECIFICA AMBROSIA,1699,$2.209
R AMOXI,IGE ESPECIFICA AMOXICILINA,1699,$2.209
R ARBOL,IGE ESPECIFICA ARBOL,1699,$2.209
R ARBUST,IGE ESPECIFICA ARBUSTO,1699,$2.209
R ARCE,IGE ESPECIFICA ARCE,1699,$2.209
R ASP-NI,IGE ESPECIFICA ARPERGILLUS NIGER,1699,$2.209
R ARTEMI,IGE ESPECIFICA ARTEMISA,1699,$2.209
R ASPER,IGE ESPECIFICA ASPERGILLUS,1699,$2.209
R ASP-FL,IGE ESPECIFICA ASPERGILLUS FLAVUS,1699,$2.209
R ASP-FU,IGE ESPECIFICA ASPERGILLUS FUMIGATUS,1699,$2.209
,IGE ESPECIFICA ANANA,1700,$2.210
R AVENA,IGE ESPECIFICA AVENA,1699,$2.209
R BANANA,IGE ESPECIFICA BANANAS,1699,$2.209
R B LACT,IGE ESPECIFICA BETA-LACTOGLOBULINA,1699,$2.209
R CACAO,IGE ESPECIFICA CACAO,1699,$2.209
R CAMAR,IGE ESPECIFICA CAMARON,1699,$2.209
R CANDI,IGE ESPECIFICA CANDIDA ALBICANS,1699,$2.209
R CASEIN,IGE ESPECIFICA CASEINA,1699,$2.209
R H-CLAR,IGE ESPECIFICA CLARA DE HUEVO,1699,$2.209
R CAB-E,IGE ESPECIFICA EPITELIO DE CABALLO,1699,$2.209
,IGE ESPECIFICA FRUTILLAS,1699,$2.209
R LACTOA,IGE ESPECIFICA LACTOALBUMINA,1699,$2.209
R LECHE,IGE ESPECIFICA LECHE,1699,$2.209
,IGE ESPECIFICA NUEZ,1699,$2.209
R OVO,IGE ESPECIFICA OVOALBUMINA,1699,$2.209
R SOJA,IGE ESPECIFICA SOJA,1699,$2.209
,IGE ESPECIFICA TOMATE,1699,$2.209
,IGE ESPECIFICOS OTROS ,1700,$2.210
,IGF-I   -  SOMATOMEDINA C,2847,$3.702
IGG,IGG cadena GAMMA,430,$559
IGM,IGM cadena MU,430,$559
INSUL,INSULINA SERICA TOTAL,580,$755
ION,IONOGRAMA PLASMATICO,307,$399
IOU,IONOGRAMA URINARIO,367,$477
R PEN G,IgE ESPECIFICA - PENICILINA G,1699,$2.209
COVEG,IgG ANTI ESPIGA CUANTITATIVO (ABBOTT) SARS CoV-2 C,4641,$6.033
LDH,LACTICO DEHIDROGENASA LDH,584,$759
LAM,LAMOTRIGINA,5910,$7.683
,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,410,$533
LMF,LEUCOCITOS EN MATERIA FECAL,881,$1.145
LH,LH HORMONA LUTEOTROFICA,634,$824
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,424,$551
LIG,LIPIDOGRAMA ELECTROFORETICO,550,$715
LPA,LIPOPROTEINA A,2079,$2.702
LIT,LITIO PLASMATICO,961,$1.249
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,5898,$7.667
MGU,MAGNESIO en orina,387,$503
MGS,MAGNESIO en sangre,387,$503
AMANDE,MANDELICO ACIDO,4157,$5.405
PPD,MANTOUX INTRADERMORREACCION,1268,$1.648
MET,METANEFRINA en orina,7747,$10.071
AC METIL,METIL HIPURICO ACIDO  en ORINA,7251,$9.427
MIC1,MICOLOGICO,937,$1.219
ALB-U2,MICROALBUMINURIA (Orina 2 hs),757,$984
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,1211,$1.574
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,754,$980
AMAM2,MITOCONDRIAL TIPO 2,2969,$3.859
MONO,MONO TEST,387,$503
MYC,MYCOPLASMA CULTIVO,5120,$6.656
ORI,ORINA COMPLETA,334,$434
PMF,PARAS. MAT FECAL,624,$811
PTH,PARATHORMONA,687,$893
PARO G,PAROTIDITIS ANTIC.ANTI IgG,8206,$10.668
PARO M,PAROTIDITIS ANTIC.ANTI IgM,6872,$8.933
BNP,PRO BNP,12448,$16.183
PRO CAL,PROCALCITONINA,7384,$9.600
PG,PROGESTERONA PLASMATICA,624,$811
PL,PROLACTINA,377,$490
PROT C,PROTEINA C FUNCIONAL,6514,$8.468
PCR,PROTEINA C REACTIVA,1184,$1.540
PROS L,PROTEINA S LIBRE,7102,$9.232
PRO,PROTEINAS TOTALES,1184,$1.540
PRU,PROTEINAS URINARIAS 12/24 hs,609,$792
PTG,PROTEINOGRAMA,1184,$1.540
20210,PROTOMBINA 20210,5642,$7.334
PRR,PRUEBA DE ROSSE RAGAN,6679,$8.682
RPCA,RESIST. A LA PROTEINA C ACTIVA,6679,$8.682
RET,RETICULOCITOS,300,$390
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,794,$1.032
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,894,$1.162
SOM,SANGRE OCULTA - MATERIA FECAL,734,$954
SAT,SATURACION DE TRANSFERRINA,708,$921
SEL,SELENIO,9567,$12.437
SER,SEROTONINA,8612,$11.196
SER-O,SEROTONINA EN ORINA DE 24HS,10901,$14.172
HGH,SOMATOTROFINA,964,$1.253
BHCG,SUB UNIDAD BETA DE GONAD.CORION.,1501,$1.951
SBS,SUB UNIDAD BETA LIBRE DE HCG,734,$954
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,846,$1.100
T3,T3 - TRIIODOTIRONINA,801,$1.041
T3L,T3 LIBRE,1211,$1.574
T4,T4 - TIROXINA TOTAL,394,$512
T4L,T4 LIBRE,801,$1.041
ACC,TENIA  (taenia) SOLIUM ANTIC ANTI (CYSTECERCUS),8878,$11.542
GHM,TEST DE GRAHAM,550,$715
TEB,TESTOSTERONA BIODISPONIBLE,1678,$2.181
TEL,TESTOSTERONA LIBRE en suero,1047,$1.362
TES,TESTOSTERONA PLASMATICA,717,$932
TG,TIROGLOBULINA,1721,$2.238
TXG,TOXOPLASMOSIS ANTIC. IgG,761,$989
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,3904,$5.075
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,1541,$2.003
TGO,TRANSAMINASA GLUTAMICO OXALACETICA,277,$360
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA,277,$360
TRA,TRANSFERRINA,570,$742
BCL2/IGH,TRANSLOCACION BCL-2/IgH,97925,$127.303
BCR/ABL,TRANSLOCACION BCR/ABL,21754,$28.280
ATA,TRICLOROACETICO ACIDO,3560,$4.629
TGL,TRIGLICERIDOS,414,$538
KPT,"TROMBOPLASTINA,TIEMPO DE",387,$503
TROPO,TROPONINA T (Tn-T),3469,$4.509
TSH,TSH - TIROTROFINA PLASMATICA,761,$989
CDU,"UREA, CLEARENCE DE",421,$547
UUREAL,UREAPLASMA UREALITICUM CULT.,3936,$5.117
URE,UREMIA,210,$273
AUR,URICO ACIDO,300,$390
AUUE,URICO ACIDO  EN ORINA OCASIONAL,300,$390
AUU2,URICO ACIDO  en orina de 2 hs.,300,$390
AUU,URICO ACIDO orina,300,$390
UROC,UROCULTIVO,991,$1.288
VDR,V.D.R.L. CUALITATIVA,387,$503
VDC,V.D.R.L. CUANTITATIVA,470,$611
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,1101,$1.431
AVM,VAINILLIN MANDELICO ACIDO,7529,$9.788
VAL,VALPROICO ACIDO,1181,$1.535
VARI G,VARICELA ANTIC.ANTI IgG IFI,4513,$5.867
VARI M,VARICELA ANTIC.ANTI IgM IFI,3621,$4.707
BK DNA,VIRUS BK DNA (PCR),22479,$29.223
VB1,VITAMINA B1 - TIAMINA,3147,$4.091
B12,VITAMINA B12,974,$1.266
VB6,VITAMINA B6 - PIRIDOXINA,10067,$13.088
VIC,VITAMINA C - ACIDO ASCORBICO,9301,$12.091
V25,"VITAMINA D3, 25 HIDROXI",3439,$4.471
ZIN,ZINC SERICO,5243,$6.816
