code,name,suggested_price_from_lab,price
DEN G,DENGUE ANTICUERPO IgG,2985,"$3,880"
DEN M,DENGUE ANTICUERPO IgM,3937,"$5,119"
DMD,"DIMERO ""D""",3668,"$4,769"
DOP,DOPAMINA PLASMATICA,3576,"$4,649"
DOO,DOPAMINA TOTAL O LIBRE orina,2064,"$2,683"
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),4937,"$6,418"
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,596,$774
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,596,$774
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,2859,"$3,716"
EPY,ERITROPOYETINA,1567,"$2,037"
ERI,ERITROSEDIMENTACION,79,$103
ESPC,ESPERMOCULTIVO,830,"$1,078"
ESP,ESPERMOGRAMA,957,"$1,244"
E2,ESTRADIOL PLASMASTICO,416,$540
ALC,ETANOL TOXICO EN SANGRE,545,$709
DOMI,EXTRACCION a DOMICILIO,1401,"$1,822"
ANAL-EX,EXUDADO ANAL,638,$830
ENF,EXUDADO DE FAUCES,580,$754
FC2,FACTOR II de coagulacion,873,"$1,135"
FC9,FACTOR IX de coagulacion,1450,"$1,885"
FC5,FACTOR V de coagulacion,1450,"$1,885"
FC7,FACTOR VII de coagulacion,1450,"$1,885"
FC8,FACTOR VIII de coagulacion,1450,"$1,885"
FC10,FACTOR X de coagulacion,1450,"$1,885"
FC13,FACTOR XIII DE COAGULACION,24788,"$32,224"
AFA,FENIL ACETICO ACIDO,4022,"$5,228"
AFENO,FENILGLIOXILICO ACIDO EN ORINA,2413,"$3,137"
FEB,FENOBARBITAL,698,$907
FER,FERREMIA,238,$309
FET,FERRITINA,599,$779
FIB,FIBRINOGENO EN SANGRE,186,$242
AFO,FOLICO ACIDO,555,$721
AFO ERI,FOLICO ACIDO ERITROCITARIO,582,$756
AC FORM,FORMICO ACIDO en ORINA,2515,"$3,270"
FAP,FOSFATASA ACIDA PROSTATICA,207,$269
FAL,FOSFATASA ALCALINA,153,$199
FAL-O,FOSFATASA ALCALINA Osea,1899,"$2,468"
FOU,FOSFATURIA,203,$264
FOS,FOSFORO en sangre,203,$264
ALG,FRUCTOSAMINA,300,$390
FSH,FSH,383,$498
FTA,FTA-ABS por IFI (ac. totales),441,$573
GAs,GASTRINA,848,"$1,102"
GAS,GASTRINA PLASMATICA-RIA,614,$798
RGB,GLOBULOS BLANCOS RECUENTO DE,128,$166
RGR,GLOBULOS ROJOS RECUENTO DE,128,$166
GLU,GLUCEMIA,128,$166
GPP,GLUCEMIA POST PRANDIAL,300,$390
GGT,GLUTAMIL TRANSPEPTIDASA GAMMA,211,$274
GON,"GONOCOCOS,Investigacion de",14633,"$19,023"
GRU,GRUPO SANGUINEO,447,$581
HPY G,HELICOBACTER PYLORI Elisa IgG,2035,"$2,645"
HPY M,HELICOBACTER PYLORI Elisa IgM,2522,"$3,279"
CDS,"HEMOCULTIVO,AEROBIOS Y ANAEROB",9097,"$11,826"
HDH,HEMOGLOBINA ELECTROFORESIS DE,1850,"$2,405"
HGY,HEMOGLOBINA GLICOSILADA,480,$623
HEM,HEMOGRAMA,182,$237
HAV ac G,HEPAT. A  ANTIC.ANTI IgG,390,$506
HAV ac M,HEPAT. A  ANTIC.ANTI IgM,537,$698
HAVAc-To,HEPAT. A ANTICUERPOS TOTALES,528,$686
HBSAG,HEPAT. B ANTIG. DE SUP (HBsAg),623,$809
HBC Ac G,"HEPAT. B Ag. CORE, Ac. IgG",775,"$1,008"
HBC Ac M,"HEPAT. B Ag. CORE, Ac. IgM",596,$774
HBS Ac,HEPAT. B Ag. DE SUP  ANTIC.ANTI,437,$568
HB-CV,HEPAT. B CARGA VIRAL,23043,"$29,956"
HCV G,HEPAT. C ANTIC.ANTI IgG ELISA,532,$692
HBcAc-T,HEPATITIS B - ANTIC ANTI CORE TOTAL,377,$490
HBCORE,HEPATITIS B CORE IGG,754,$980
